title,description,category
The Matrix,A hacker discovers reality is a simulation,Sci-Fi
Inception,A thief enters dreams to steal secrets,Sci-Fi
Interstellar,A team travels through space to save humanity,Sci-Fi
The Dark Knight,Batman battles the Joker in Gotham,Action
Avatar,A marine explores a new alien world,Sci-Fi
Titanic,A romantic story on a sinking ship,Romance
The Notebook,A love story across many years,Romance
John Wick,A retired hitman seeks revenge,Action
Mad Max Fury Road,Survivors fight in a desert wasteland,Action
The Avengers,Superheroes team up to save Earth,Superhero
Spider-Man,A young hero gains spider powers,Superhero
Iron Man,A billionaire builds a powerful suit,Superhero
Doctor Strange,A surgeon learns mystical arts,Fantasy
Frozen,A princess with ice powers saves her kingdom,Animation
Toy Story,Toys come to life when humans are not around,Animation
Finding Nemo,A fish travels the ocean to find his son,Animation
Harry Potter,A boy discovers he is a wizard,Fantasy
Lord of the Rings,A group travels to destroy a ring,Fantasy
Black Panther,A king protects his nation and technology,Superhero
Joker,A man descends into madness and crime,Drama
Gladiator,A warrior fights in ancient Rome,Action
The Lion King,A lion cub becomes king of the jungle,Animation
Shrek,An ogre goes on an adventure with a donkey,Animation
Kung Fu Panda,A panda trains to become a kung fu master,Animation
Avengers Endgame,Heroes unite to reverse a global disaster,Superhero
Captain America,A super soldier fights for justice,Superhero
Thor,A god of thunder protects Earth,Superhero
Guardians of the Galaxy,A group of misfits protect the galaxy,Superhero
Deadpool,A sarcastic antihero fights villains,Superhero
Logan,An aging mutant protects a young girl,Action
